Customer_ID,Month,City,Street,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Credit_Score,Has_Payday_Loan,Has_Credit_Builder_Loan,Has_Not_Specified_Loan,Has_Home_Equity_Loan,Has_Mortgage_Loan,Has_Personal_Loan,Has_Student_Loan,Has_Debt_Consolidation_Loan,Has_Auto_Loan,Loan_Count
CUS_0xd40,January,Lonton,Oxford Street,23,Manager,19114.12,1824.843333,3,4,3.0,3,7,11.27,4,_,809.98,26.82261962,22.083333333333332,No,80.41529544,3,0,1,0,1,0,1,0,0,1,4
CUS_0xd40,February,Lonton,Oxford Street,23,Manager,19114.12,1824.843333,3,4,3.0,3,7,11.27,4,Good,809.98,31.94496006,22.166666666666664,No,118.2802216,3,0,1,0,1,0,1,0,0,1,4
CUS_0xd40,March,Lonton,Oxford Street,23,Manager,19114.12,1824.843333,3,4,3.0,3,7,10.269999999999998,4,Good,809.98,28.60935202,22.25,No,81.69952126,3,0,1,0,1,0,1,0,0,1,4
CUS_0xd40,April,Lonton,Oxford Street,23,Manager,19114.12,1824.843333,3,4,3.0,5,4,6.27,4,Good,809.98,26.558275021428578,22.333333333333332,No,199.4580744,3,0,1,0,1,0,1,0,0,1,4
CUS_0xd40,May,Lonton,Oxford Street,23,Manager,19114.12,1824.843333,3,4,3.0,6,7,11.27,4,Good,809.98,24.79734691,22.416666666666668,No,41.42015309,3,0,1,0,1,0,1,0,0,1,4
CUS_0xd40,June,Lonton,Oxford Street,23,Manager,19114.12,1824.843333,3,4,3.0,8,7,9.27,4,Good,809.98,27.26225871,22.5,No,103.48607852857143,3,0,1,0,1,0,1,0,0,1,4
CUS_0xd40,July,Lonton,Oxford Street,23,Manager,19114.12,1824.843333,3,4,3.0,3,8,11.27,4,Good,809.98,22.53759303,22.583333333333332,No,178.3440674,3,0,1,0,1,0,1,0,0,1,4
CUS_0xd40,August,Standhampton,Oxford Street,23,Manager,19114.12,1824.843333,3,4,3.0,3,6,11.27,4,Good,809.98,23.9337948,22.666666666666664,No,24.78521651,2,0,1,0,1,0,1,0,0,1,4
CUS_0x21b1,January,Standhampton,Old Street,28,Teacher,34847.84,3037.986667,2,4,6.0,3,4,5.42,2,Good,605.03,24.46403064,26.583333333333332,No,104.2918252,2,0,1,0,0,0,0,0,0,0,1
CUS_0x21b1,February,Lonton,Old Street,28,Teacher,34847.84,3037.986667,2,4,6.0,7,1,7.42,2,Good,605.03,38.55084843,26.666666666666668,No,40.39123783,3,0,1,0,0,0,0,0,0,0,1
CUS_0x21b1,March,Standhampton,Old Street,28,Teacher,34847.84,3037.986667,2,4,6.0,3,4,5.42,2,_,605.03,33.22495079,26.75,No,58.5159757,2,0,1,0,0,0,0,0,0,0,1
CUS_0x21b1,April,Lonton,Old Street,28,Teacher,34847.84,3037.986667,2,4,6.0,3,3,5.84857142857143,2,Good,605.03,39.18265566,26.833333333333332,No,99.30622796,3,0,1,0,0,0,0,0,0,0,1
CUS_0x21b1,May,Lonton,Old Street,28,Teacher,34847.84,3037.986667,2,4,6.0,3,1,6.42,2,Good,605.03,34.97789475,26.916666666666668,No,130.1154202,3,0,1,0,0,0,0,0,0,0,1
CUS_0x21b1,June,Lonton,Old Street,28,Teacher,34847.84,3037.986667,2,4,6.0,3,0,5.42,2,Good,605.03,33.3810102,27.0,No,43.47719014,3,0,1,0,0,0,0,0,0,0,1
CUS_0x21b1,July,Lonton,Old Street,28,Teacher,34847.84,3037.986667,2,4,6.0,3,4,5.42,2,Good,605.03,31.13170161,27.083333333333332,NM,70.10177421,3,0,1,0,0,0,0,0,0,0,1
